time,hour,distance,is_blocked,is_raining,rain_rate,snr_140ghz,rsrp_140ghz,rain_loss_140ghz,atm_loss_140ghz,fog_loss_140ghz,beam_loss_140ghz,snr_220ghz,rsrp_220ghz,rain_loss_220ghz,atm_loss_220ghz,fog_loss_220ghz,beam_loss_220ghz,snr_degradation,outage_140ghz,outage_220ghz
2026-01-12 10:32:03.040327,10,151.42,False,False,0,52.5,-18.98,0.0,0.03,0,0.0,46.11,-18.22,0.0,0.16,0,0.15,6.390000000000001,False,False
2026-01-12 10:33:03.040327,10,158.65,False,False,0,51.86,-19.62,0.0,0.03,0,0.32,44.37,-19.95,0.0,0.17,0,0.74,7.490000000000002,False,False
2026-01-12 10:34:03.040327,10,169.8,False,False,0,51.31,-20.17,0.0,0.03,0,0.0,44.51,-19.82,0.0,0.18,0,0.21,6.800000000000004,False,False
2026-01-12 10:35:03.040327,10,184.18,False,False,0,50.29,-21.2,0.0,0.04,0,0.18,43.44,-20.89,0.0,0.2,0,0.14,6.850000000000001,False,False
2026-01-12 10:36:03.040327,10,200.0,False,False,0,50.38,-21.1,0.0,0.04,0,0.0,43.34,-20.98,0.0,0.2,0,0.48,7.039999999999999,False,False
2026-01-12 10:37:03.040327,10,200.0,False,False,0,49.81,-21.68,0.0,0.04,0,0.01,43.73,-20.6,0.0,0.2,0,0.01,6.080000000000005,False,False
2026-01-12 10:38:03.040327,10,200.0,False,False,0,49.9,-21.59,0.0,0.04,0,0.0,43.72,-20.6,0.0,0.2,0,0.06,6.18,False,False
2026-01-12 10:39:03.040327,10,200.0,False,False,0,50.0,-21.48,0.0,0.04,0,0.01,43.67,-20.66,0.0,0.2,0,0.03,6.329999999999998,False,False
2026-01-12 10:40:03.040327,10,200.0,False,False,0,50.21,-21.27,0.0,0.04,0,0.0,43.58,-20.75,0.0,0.2,0,0.0,6.630000000000003,False,False
2026-01-12 10:41:03.040327,10,200.0,False,False,0,50.27,-21.21,0.0,0.04,0,0.03,43.75,-20.57,0.0,0.2,0,0.11,6.520000000000003,False,False
2026-01-12 10:42:03.040327,10,200.0,False,False,0,49.61,-21.88,0.0,0.04,0,0.04,42.61,-21.71,0.0,0.2,0,1.07,7.0,False,False
2026-01-12 10:43:03.040327,10,200.0,False,False,0,49.58,-21.9,0.0,0.04,0,0.0,43.54,-20.78,0.0,0.2,0,0.13,6.039999999999999,False,False
2026-01-12 10:44:03.040327,10,200.0,False,False,0,50.11,-21.37,0.0,0.04,0,0.11,42.88,-21.45,0.0,0.2,0,0.62,7.229999999999997,False,False
2026-01-12 10:45:03.040327,10,200.0,False,False,0,49.76,-21.72,0.0,0.04,0,0.07,43.79,-20.54,0.0,0.2,0,0.02,5.969999999999999,False,False
2026-01-12 10:46:03.040327,10,200.0,False,False,0,49.81,-21.67,0.0,0.04,0,0.07,43.03,-21.3,0.0,0.2,0,0.39,6.780000000000001,False,False
2026-01-12 10:47:03.040327,10,200.0,False,False,0,49.84,-21.64,0.0,0.04,0,0.0,34.05,-30.28,0.0,0.2,0,0.0,15.790000000000006,False,False
2026-01-12 10:48:03.040327,10,200.0,False,False,0,49.75,-21.73,0.0,0.04,0,0.17,43.72,-20.6,0.0,0.2,0,0.01,6.030000000000001,False,False
2026-01-12 10:49:03.040327,10,200.0,False,False,0,50.23,-21.25,0.0,0.04,0,0.03,42.82,-21.5,0.0,0.2,0,1.48,7.409999999999997,False,False
2026-01-12 10:50:03.040327,10,200.0,False,False,0,50.43,-21.06,0.0,0.04,0,0.03,43.15,-21.18,0.0,0.2,0,0.42,7.280000000000001,False,False
2026-01-12 10:51:03.040327,10,200.0,False,False,0,50.31,-21.18,0.0,0.04,0,0.18,43.27,-21.05,0.0,0.2,0,0.5,7.039999999999999,False,False
2026-01-12 10:52:03.040327,10,200.0,False,False,0,49.75,-21.73,0.0,0.04,0,0.07,43.35,-20.97,0.0,0.2,0,0.03,6.399999999999999,False,False
2026-01-12 10:53:03.040327,10,200.0,False,False,0,49.85,-21.63,0.0,0.04,0,0.0,37.95,-26.38,0.0,0.2,0,0.0,11.899999999999999,False,False
2026-01-12 10:54:03.040327,10,200.0,False,False,0,50.55,-20.93,0.0,0.04,0,0.0,42.32,-22.01,0.0,0.2,0,1.51,8.229999999999997,False,False
2026-01-12 10:55:03.040327,10,200.0,False,False,0,49.66,-21.82,0.0,0.04,0,0.11,44.07,-20.26,0.0,0.2,0,0.01,5.589999999999996,False,False
2026-01-12 10:56:03.040327,10,200.0,False,False,0,49.89,-21.59,0.0,0.04,0,0.09,43.75,-20.57,0.0,0.2,0,0.01,6.140000000000001,False,False
2026-01-12 10:57:03.040327,10,200.0,False,False,0,49.75,-21.74,0.0,0.04,0,0.03,43.26,-21.06,0.0,0.2,0,0.23,6.490000000000002,False,False
2026-01-12 10:58:03.040327,10,200.0,False,False,0,43.86,-27.62,0.0,0.04,0,0.0,43.81,-20.52,0.0,0.2,0,0.1,0.04999999999999716,False,False
2026-01-12 10:59:03.040327,10,200.0,False,False,0,49.8,-21.68,0.0,0.04,0,0.01,43.8,-20.52,0.0,0.2,0,0.0,6.0,False,False
2026-01-12 11:00:03.040327,11,200.0,False,False,0,49.78,-21.7,0.0,0.04,0,0.36,42.47,-21.86,0.0,0.2,0,1.59,7.310000000000002,False,False
2026-01-12 11:01:03.040327,11,200.0,False,False,0,49.45,-22.03,0.0,0.04,0,0.21,43.82,-20.51,0.0,0.2,0,0.09,5.630000000000003,False,False
2026-01-12 11:02:03.040327,11,200.0,False,False,0,49.6,-21.88,0.0,0.04,0,0.03,44.04,-20.29,0.0,0.2,0,0.11,5.560000000000002,False,False
2026-01-12 11:03:03.040327,11,200.0,False,False,0,50.14,-21.34,0.0,0.04,0,0.02,43.14,-21.19,0.0,0.2,0,0.04,7.0,False,False
2026-01-12 11:04:03.040327,11,200.0,False,False,0,49.62,-21.86,0.0,0.04,0,0.16,43.77,-20.55,0.0,0.2,0,0.04,5.849999999999994,False,False
2026-01-12 11:05:03.040327,11,200.0,False,False,0,49.98,-21.5,0.0,0.04,0,0.09,43.2,-21.13,0.0,0.2,0,0.42,6.779999999999994,False,False
2026-01-12 11:06:03.040327,11,200.0,False,False,0,44.15,-27.33,0.0,0.04,0,0.0,43.38,-20.95,0.0,0.2,0,0.07,0.769999999999996,False,False
2026-01-12 11:07:03.040327,11,200.0,False,False,0,49.83,-21.65,0.0,0.04,0,0.04,44.0,-20.33,0.0,0.2,0,0.12,5.829999999999998,False,False
2026-01-12 11:08:03.040327,11,200.0,False,False,0,49.71,-21.78,0.0,0.04,0,0.01,43.48,-20.84,0.0,0.2,0,0.04,6.230000000000004,False,False
2026-01-12 11:09:03.040327,11,200.0,False,False,0,50.14,-21.34,0.0,0.04,0,0.03,43.26,-21.07,0.0,0.2,0,0.1,6.880000000000003,False,False
2026-01-12 11:10:03.040327,11,200.0,False,False,0,49.69,-21.8,0.0,0.04,0,0.0,43.49,-20.84,0.0,0.2,0,0.43,6.199999999999996,False,False
2026-01-12 11:11:03.040327,11,200.0,False,False,0,49.69,-21.8,0.0,0.04,0,0.0,43.73,-20.59,0.0,0.2,0,0.0,5.960000000000001,False,False
2026-01-12 11:12:03.040327,11,200.0,False,False,0,49.91,-21.57,0.0,0.04,0,0.01,43.67,-20.65,0.0,0.2,0,0.01,6.239999999999995,False,False
2026-01-12 11:13:03.040327,11,200.0,False,False,0,50.09,-21.39,0.0,0.04,0,0.02,43.7,-20.63,0.0,0.2,0,0.29,6.390000000000001,False,False
2026-01-12 11:14:03.040327,11,200.0,False,False,0,49.97,-21.52,0.0,0.04,0,0.03,42.37,-21.96,0.0,0.2,0,1.3,7.600000000000001,False,False
2026-01-12 11:15:03.040327,11,200.0,False,False,0,49.16,-22.32,0.0,0.04,0,0.82,43.08,-21.25,0.0,0.2,0,0.91,6.079999999999998,False,False
2026-01-12 11:16:03.040327,11,200.0,False,False,0,49.41,-22.07,0.0,0.04,0,0.05,43.39,-20.93,0.0,0.2,0,0.02,6.019999999999996,False,False
2026-01-12 11:17:03.040327,11,200.0,False,False,0,50.23,-21.26,0.0,0.04,0,0.07,43.4,-20.93,0.0,0.2,0,0.07,6.829999999999998,False,False
2026-01-12 11:18:03.040327,11,200.0,False,False,0,49.98,-21.5,0.0,0.04,0,0.04,43.3,-21.03,0.0,0.2,0,0.02,6.68,False,False
2026-01-12 11:19:03.040327,11,200.0,False,False,0,49.57,-21.91,0.0,0.04,0,0.12,43.8,-20.53,0.0,0.2,0,0.0,5.770000000000003,False,False
2026-01-12 11:20:03.040327,11,200.0,False,False,0,49.77,-21.71,0.0,0.04,0,0.01,43.41,-20.92,0.0,0.2,0,0.01,6.3600000000000065,False,False
2026-01-12 11:21:03.040327,11,200.0,False,False,0,50.22,-21.26,0.0,0.04,0,0.04,43.47,-20.86,0.0,0.2,0,0.0,6.75,False,False
2026-01-12 11:22:03.040327,11,200.0,False,False,0,49.87,-21.61,0.0,0.04,0,0.01,43.48,-20.85,0.0,0.2,0,0.11,6.390000000000001,False,False
2026-01-12 11:23:03.040327,11,200.0,False,False,0,35.43,-36.05,0.0,0.04,0,0.0,43.69,-20.64,0.0,0.2,0,0.0,-8.259999999999998,False,False
2026-01-12 11:24:03.040327,11,200.0,False,False,0,49.59,-21.89,0.0,0.04,0,0.15,43.54,-20.78,0.0,0.2,0,0.07,6.050000000000004,False,False
2026-01-12 11:25:03.040327,11,200.0,False,False,0,50.13,-21.35,0.0,0.04,0,0.05,43.85,-20.48,0.0,0.2,0,0.1,6.280000000000001,False,False
2026-01-12 11:26:03.040327,11,200.0,False,False,0,49.85,-21.63,0.0,0.04,0,0.02,42.87,-21.46,0.0,0.2,0,0.07,6.980000000000004,False,False
2026-01-12 11:27:03.040327,11,200.0,False,False,0,49.31,-22.18,0.0,0.04,0,0.0,42.99,-21.34,0.0,0.2,0,0.71,6.32,False,False
2026-01-12 11:28:03.040327,11,200.0,False,False,0,49.76,-21.72,0.0,0.04,0,0.01,43.43,-20.89,0.0,0.2,0,0.29,6.329999999999998,False,False
2026-01-12 11:29:03.040327,11,200.0,False,False,0,49.83,-21.65,0.0,0.04,0,0.04,42.12,-22.21,0.0,0.2,0,1.73,7.710000000000001,False,False
2026-01-12 11:30:03.040327,11,200.0,False,False,0,49.23,-22.25,0.0,0.04,0,0.25,44.0,-20.33,0.0,0.2,0,0.0,5.229999999999997,False,False
2026-01-12 11:31:03.040327,11,200.0,False,False,0,49.23,-22.25,0.0,0.04,0,0.01,43.96,-20.36,0.0,0.2,0,0.15,5.269999999999996,False,False
2026-01-12 11:32:03.040327,11,200.0,False,False,0,49.94,-21.54,0.0,0.04,0,0.02,43.46,-20.87,0.0,0.2,0,0.0,6.479999999999997,False,False
2026-01-12 11:33:03.040327,11,200.0,False,False,0,49.67,-21.81,0.0,0.04,0,0.0,43.15,-21.17,0.0,0.2,0,0.0,6.520000000000003,False,False
2026-01-12 11:34:03.040327,11,200.0,False,False,0,50.18,-21.31,0.0,0.04,0,0.03,43.67,-20.66,0.0,0.2,0,0.23,6.509999999999998,False,False
2026-01-12 11:35:03.040327,11,200.0,False,False,0,49.36,-22.12,0.0,0.04,0,0.31,43.88,-20.45,0.0,0.2,0,0.08,5.479999999999997,False,False
2026-01-12 11:36:03.040327,11,200.0,False,False,0,49.27,-22.21,0.0,0.04,0,0.08,43.03,-21.3,0.0,0.2,0,0.2,6.240000000000002,False,False
2026-01-12 11:37:03.040327,11,200.0,False,False,0,49.76,-21.73,0.0,0.04,0,0.1,43.72,-20.61,0.0,0.2,0,0.19,6.039999999999999,False,False
2026-01-12 11:38:03.040327,11,200.0,False,False,0,49.8,-21.68,0.0,0.04,0,0.02,43.76,-20.56,0.0,0.2,0,0.06,6.039999999999999,False,False
2026-01-12 11:39:03.040327,11,200.0,False,False,0,49.14,-22.34,0.0,0.04,0,0.12,43.73,-20.59,0.0,0.2,0,0.02,5.410000000000004,False,False
2026-01-12 11:40:03.040327,11,200.0,False,False,0,49.98,-21.51,0.0,0.04,0,0.02,44.07,-20.26,0.0,0.2,0,0.01,5.909999999999997,False,False
2026-01-12 11:41:03.040327,11,200.0,False,False,0,50.26,-21.22,0.0,0.04,0,0.0,43.48,-20.85,0.0,0.2,0,0.01,6.780000000000001,False,False
2026-01-12 11:42:03.040327,11,200.0,False,False,0,49.98,-21.5,0.0,0.04,0,0.0,43.6,-20.73,0.0,0.2,0,0.01,6.3799999999999955,False,False
2026-01-12 11:43:03.040327,11,200.0,False,False,0,49.57,-21.91,0.0,0.04,0,0.35,44.01,-20.32,0.0,0.2,0,0.13,5.560000000000002,False,False
2026-01-12 11:44:03.040327,11,200.0,False,False,0,49.57,-21.92,0.0,0.04,0,0.21,44.02,-20.31,0.0,0.2,0,0.05,5.549999999999997,False,False
2026-01-12 11:45:03.040327,11,200.0,False,False,0,39.94,-31.55,0.0,0.04,0,0.0,43.28,-21.05,0.0,0.2,0,0.31,-3.3400000000000034,False,False
2026-01-12 11:46:03.040327,11,200.0,False,False,0,48.66,-22.82,0.0,0.04,0,0.41,33.93,-30.4,0.0,0.2,0,0.0,14.729999999999997,False,False
2026-01-12 11:47:03.040327,11,200.0,False,False,0,50.08,-21.4,0.0,0.04,0,0.04,43.67,-20.66,0.0,0.2,0,0.12,6.409999999999997,False,False
2026-01-12 11:48:03.040327,11,200.0,False,False,0,49.86,-21.62,0.0,0.04,0,0.11,43.62,-20.7,0.0,0.2,0,0.02,6.240000000000002,False,False
2026-01-12 11:49:03.040327,11,200.0,False,False,0,49.96,-21.52,0.0,0.04,0,0.04,43.47,-20.86,0.0,0.2,0,0.11,6.490000000000002,False,False
2026-01-12 11:50:03.040327,11,200.0,False,False,0,49.75,-21.73,0.0,0.04,0,0.01,43.27,-21.05,0.0,0.2,0,0.45,6.479999999999997,False,False
2026-01-12 11:51:03.040327,11,200.0,False,False,0,50.05,-21.43,0.0,0.04,0,0.01,43.04,-21.29,0.0,0.2,0,0.14,7.009999999999998,False,False
2026-01-12 11:52:03.040327,11,200.0,False,False,0,49.89,-21.59,0.0,0.04,0,0.03,43.23,-21.1,0.0,0.2,0,0.22,6.660000000000004,False,False
2026-01-12 11:53:03.040327,11,200.0,False,False,0,50.1,-21.38,0.0,0.04,0,0.0,43.28,-21.05,0.0,0.2,0,0.45,6.82,False,False
2026-01-12 11:54:03.040327,11,200.0,False,False,0,49.89,-21.59,0.0,0.04,0,0.18,43.33,-21.0,0.0,0.2,0,0.3,6.560000000000002,False,False
2026-01-12 11:55:03.040327,11,200.0,False,False,0,50.29,-21.19,0.0,0.04,0,0.01,42.91,-21.42,0.0,0.2,0,0.41,7.380000000000003,False,False
2026-01-12 11:56:03.040327,11,200.0,False,False,0,49.69,-21.79,0.0,0.04,0,0.02,43.08,-21.24,0.0,0.2,0,0.75,6.609999999999999,False,False
2026-01-12 11:57:03.040327,11,200.0,False,False,0,49.99,-21.49,0.0,0.04,0,0.0,43.76,-20.56,0.0,0.2,0,0.04,6.230000000000004,False,False
2026-01-12 11:58:03.040327,11,200.0,False,False,0,50.3,-21.18,0.0,0.04,0,0.0,42.79,-21.54,0.0,0.2,0,0.09,7.509999999999998,False,False
2026-01-12 11:59:03.040327,11,200.0,False,False,0,49.82,-21.66,0.0,0.04,0,0.01,43.86,-20.47,0.0,0.2,0,0.03,5.960000000000001,False,False
2026-01-12 12:00:03.040327,12,200.0,False,False,0,50.01,-21.47,0.0,0.04,0,0.0,42.82,-21.51,0.0,0.2,0,0.35,7.189999999999998,False,False
2026-01-12 12:01:03.040327,12,200.0,False,False,0,50.27,-21.21,0.0,0.04,0,0.07,43.17,-21.15,0.0,0.2,0,0.64,7.100000000000001,False,False
2026-01-12 12:02:03.040327,12,200.0,False,False,0,50.06,-21.43,0.0,0.04,0,0.04,42.69,-21.63,0.0,0.2,0,0.6,7.3700000000000045,False,False
2026-01-12 12:03:03.040327,12,200.0,False,False,0,49.91,-21.57,0.0,0.04,0,0.05,43.26,-21.06,0.0,0.2,0,0.09,6.649999999999999,False,False
2026-01-12 12:04:03.040327,12,200.0,False,False,0,50.05,-21.43,0.0,0.04,0,0.0,43.49,-20.84,0.0,0.2,0,0.0,6.559999999999995,False,False
2026-01-12 12:05:03.040327,12,200.0,False,False,0,48.96,-22.52,0.0,0.04,0,0.92,43.37,-20.96,0.0,0.2,0,0.05,5.590000000000003,False,False
2026-01-12 12:06:03.040327,12,200.0,False,False,0,50.08,-21.4,0.0,0.04,0,0.02,42.92,-21.41,0.0,0.2,0,0.93,7.159999999999997,False,False
2026-01-12 12:07:03.040327,12,200.0,False,False,0,50.03,-21.45,0.0,0.04,0,0.04,43.53,-20.79,0.0,0.2,0,0.0,6.5,False,False
2026-01-12 12:08:03.040327,12,200.0,False,False,0,49.99,-21.49,0.0,0.04,0,0.1,43.9,-20.43,0.0,0.2,0,0.0,6.090000000000003,False,False
2026-01-12 12:09:03.040327,12,200.0,False,False,0,50.3,-21.18,0.0,0.04,0,0.03,43.52,-20.81,0.0,0.2,0,0.23,6.779999999999994,False,False
2026-01-12 12:10:03.040327,12,200.0,False,False,0,49.88,-21.6,0.0,0.04,0,0.0,43.27,-21.06,0.0,0.2,0,0.12,6.609999999999999,False,False
2026-01-12 12:11:03.040327,12,200.0,False,False,0,49.6,-21.88,0.0,0.04,0,0.0,43.61,-20.71,0.0,0.2,0,0.13,5.990000000000002,False,False
2026-01-12 12:12:03.040327,12,200.0,False,False,0,40.08,-31.4,0.0,0.04,0,0.0,37.82,-26.51,0.0,0.2,0,0.0,2.259999999999998,False,False
2026-01-12 12:13:03.040327,12,200.0,False,False,0,50.09,-21.39,0.0,0.04,0,0.01,43.46,-20.87,0.0,0.2,0,0.32,6.630000000000003,False,False
2026-01-12 12:14:03.040327,12,200.0,False,False,0,50.08,-21.4,0.0,0.04,0,0.01,33.88,-30.45,0.0,0.2,0,0.0,16.199999999999996,False,False
2026-01-12 12:15:03.040327,12,200.0,False,False,0,50.19,-21.29,0.0,0.04,0,0.0,43.75,-20.57,0.0,0.2,0,0.06,6.439999999999998,False,False
2026-01-12 12:16:03.040327,12,200.0,False,False,0,49.68,-21.81,0.0,0.04,0,0.01,43.58,-20.75,0.0,0.2,0,0.42,6.100000000000001,False,False
2026-01-12 12:17:03.040327,12,200.0,False,False,0,49.95,-21.53,0.0,0.04,0,0.01,43.91,-20.42,0.0,0.2,0,0.01,6.040000000000006,False,False
2026-01-12 12:18:03.040327,12,200.0,False,False,0,50.02,-21.46,0.0,0.04,0,0.02,43.52,-20.81,0.0,0.2,0,0.07,6.5,False,False
2026-01-12 12:19:03.040327,12,200.0,False,False,0,49.93,-21.55,0.0,0.04,0,0.08,43.5,-20.82,0.0,0.2,0,0.01,6.43,False,False
2026-01-12 12:20:03.040327,12,200.0,False,False,0,49.48,-22.01,0.0,0.04,0,0.1,43.87,-20.46,0.0,0.2,0,0.11,5.609999999999999,False,False
2026-01-12 12:21:03.040327,12,200.0,False,False,0,43.87,-27.62,0.0,0.04,0,0.0,43.86,-20.46,0.0,0.2,0,0.0,0.00999999999999801,False,False
2026-01-12 12:22:03.040327,12,200.0,False,False,0,49.5,-21.99,0.0,0.04,0,0.0,42.97,-21.35,0.0,0.2,0,0.95,6.530000000000001,False,False
2026-01-12 12:23:03.040327,12,200.0,False,False,0,49.46,-22.02,0.0,0.04,0,0.0,42.76,-21.57,0.0,0.2,0,1.04,6.700000000000003,False,False
2026-01-12 12:24:03.040327,12,200.0,False,False,0,50.13,-21.35,0.0,0.04,0,0.0,43.57,-20.76,0.0,0.2,0,0.39,6.560000000000002,False,False
2026-01-12 12:25:03.040327,12,200.0,False,False,0,50.26,-21.22,0.0,0.04,0,0.04,43.49,-20.84,0.0,0.2,0,0.04,6.769999999999996,False,False
2026-01-12 12:26:03.040327,12,200.0,False,False,0,49.78,-21.7,0.0,0.04,0,0.0,42.59,-21.73,0.0,0.2,0,1.35,7.189999999999998,False,False
2026-01-12 12:27:03.040327,12,200.0,False,False,0,49.77,-21.71,0.0,0.04,0,0.01,43.26,-21.07,0.0,0.2,0,0.17,6.510000000000005,False,False
2026-01-12 12:28:03.040327,12,200.0,False,False,0,49.47,-22.01,0.0,0.04,0,0.28,43.96,-20.37,0.0,0.2,0,0.12,5.509999999999998,False,False
2026-01-12 12:29:03.040327,12,200.0,False,False,0,40.0,-31.49,0.0,0.04,0,0.0,43.09,-21.23,0.0,0.2,0,0.47,-3.0900000000000034,False,False
2026-01-12 12:30:03.040327,12,200.0,False,False,0,50.21,-21.27,0.0,0.04,0,0.01,43.15,-21.18,0.0,0.2,0,0.47,7.060000000000002,False,False
2026-01-12 12:31:03.040327,12,200.0,False,False,0,49.82,-21.66,0.0,0.04,0,0.35,43.57,-20.76,0.0,0.2,0,0.07,6.25,False,False
2026-01-12 12:32:03.040327,12,200.0,False,False,0,49.8,-21.68,0.0,0.04,0,0.01,42.94,-21.39,0.0,0.2,0,0.02,6.859999999999999,False,False
2026-01-12 12:33:03.040327,12,200.0,False,False,0,49.73,-21.76,0.0,0.04,0,0.0,28.77,-35.56,0.0,0.2,0,0.0,20.959999999999997,False,False
2026-01-12 12:34:03.040327,12,200.0,False,False,0,50.46,-21.02,0.0,0.04,0,0.03,43.55,-20.77,0.0,0.2,0,0.08,6.910000000000004,False,False
2026-01-12 12:35:03.040327,12,200.0,False,False,0,49.89,-21.6,0.0,0.04,0,0.19,44.08,-20.25,0.0,0.2,0,0.03,5.810000000000002,False,False
2026-01-12 12:36:03.040327,12,200.0,False,False,0,49.64,-21.84,0.0,0.04,0,0.06,43.71,-20.61,0.0,0.2,0,0.28,5.93,False,False
2026-01-12 12:37:03.040327,12,200.0,False,False,0,49.62,-21.87,0.0,0.04,0,0.0,43.22,-21.11,0.0,0.2,0,0.41,6.399999999999999,False,False
2026-01-12 12:38:03.040327,12,200.0,False,False,0,49.78,-21.7,0.0,0.04,0,0.02,43.94,-20.39,0.0,0.2,0,0.11,5.840000000000003,False,False
2026-01-12 12:39:03.040327,12,200.0,False,False,0,50.33,-21.15,0.0,0.04,0,0.02,43.46,-20.87,0.0,0.2,0,0.02,6.869999999999997,False,False
2026-01-12 12:40:03.040327,12,200.0,False,False,0,49.85,-21.64,0.0,0.04,0,0.14,37.71,-26.62,0.0,0.2,0,0.0,12.14,False,False
2026-01-12 12:41:03.040327,12,200.0,False,False,0,49.54,-21.94,0.0,0.04,0,0.23,43.7,-20.63,0.0,0.2,0,0.01,5.839999999999996,False,False
2026-01-12 12:42:03.040327,12,200.0,False,False,0,49.54,-21.95,0.0,0.04,0,0.44,43.66,-20.66,0.0,0.2,0,0.03,5.880000000000003,False,False
2026-01-12 12:43:03.040327,12,200.0,False,False,0,44.27,-27.21,0.0,0.04,0,0.0,44.0,-20.33,0.0,0.2,0,0.04,0.2700000000000031,False,False
2026-01-12 12:44:03.040327,12,200.0,False,False,0,49.91,-21.57,0.0,0.04,0,0.02,43.69,-20.64,0.0,0.2,0,0.11,6.219999999999999,False,False
2026-01-12 12:45:03.040327,12,200.0,False,False,0,35.17,-36.32,0.0,0.04,0,0.0,42.47,-21.86,0.0,0.2,0,1.21,-7.299999999999997,False,False
2026-01-12 12:46:03.040327,12,200.0,False,False,0,49.74,-21.75,0.0,0.04,0,0.06,37.87,-26.45,0.0,0.2,0,0.0,11.870000000000005,False,False
2026-01-12 12:47:03.040327,12,200.0,False,False,0,34.96,-36.52,0.0,0.04,0,0.0,43.33,-21.0,0.0,0.2,0,0.89,-8.369999999999997,False,False
2026-01-12 12:48:03.040327,12,200.0,False,False,0,49.85,-21.63,0.0,0.04,0,0.01,43.46,-20.87,0.0,0.2,0,0.05,6.390000000000001,False,False
2026-01-12 12:49:03.040327,12,200.0,False,False,0,50.08,-21.4,0.0,0.04,0,0.02,44.26,-20.07,0.0,0.2,0,0.05,5.82,False,False
2026-01-12 12:50:03.040327,12,200.0,False,False,0,49.68,-21.8,0.0,0.04,0,0.0,43.24,-21.09,0.0,0.2,0,0.21,6.439999999999998,False,False
2026-01-12 12:51:03.040327,12,200.0,False,False,0,35.15,-36.33,0.0,0.04,0,0.0,43.28,-21.05,0.0,0.2,0,0.38,-8.130000000000003,False,False
2026-01-12 12:52:03.040327,12,200.0,False,False,0,50.16,-21.32,0.0,0.04,0,0.0,43.61,-20.72,0.0,0.2,0,0.4,6.549999999999997,False,False
2026-01-12 12:53:03.040327,12,200.0,False,False,0,49.68,-21.8,0.0,0.04,0,0.03,43.73,-20.59,0.0,0.2,0,0.22,5.950000000000003,False,False
2026-01-12 12:54:03.040327,12,200.0,False,False,0,50.21,-21.27,0.0,0.04,0,0.03,43.63,-20.69,0.0,0.2,0,0.25,6.579999999999998,False,False
2026-01-12 12:55:03.040327,12,200.0,False,False,0,50.28,-21.2,0.0,0.04,0,0.03,43.68,-20.65,0.0,0.2,0,0.04,6.600000000000001,False,False
2026-01-12 12:56:03.040327,12,200.0,False,False,0,50.15,-21.33,0.0,0.04,0,0.05,43.49,-20.83,0.0,0.2,0,0.01,6.659999999999997,False,False
2026-01-12 12:57:03.040327,12,200.0,False,False,0,49.55,-21.94,0.0,0.04,0,0.15,43.4,-20.92,0.0,0.2,0,0.03,6.149999999999999,False,False
2026-01-12 12:58:03.040327,12,200.0,False,False,0,50.07,-21.41,0.0,0.04,0,0.04,43.5,-20.82,0.0,0.2,0,0.12,6.57,False,False
2026-01-12 12:59:03.040327,12,200.0,False,False,0,39.83,-31.65,0.0,0.04,0,0.0,42.77,-21.56,0.0,0.2,0,0.37,-2.940000000000005,False,False
2026-01-12 13:00:03.040327,13,200.0,False,False,0,50.25,-21.23,0.0,0.04,0,0.0,43.0,-21.33,0.0,0.2,0,0.54,7.25,False,False
2026-01-12 13:01:03.040327,13,200.0,False,False,0,49.9,-21.58,0.0,0.04,0,0.02,43.76,-20.56,0.0,0.2,0,0.0,6.140000000000001,False,False
2026-01-12 13:02:03.040327,13,200.0,False,False,0,49.92,-21.56,0.0,0.04,0,0.11,28.66,-35.66,0.0,0.2,0,0.0,21.26,False,False
2026-01-12 13:03:03.040327,13,200.0,False,False,0,49.58,-21.9,0.0,0.04,0,0.0,43.57,-20.75,0.0,0.2,0,0.0,6.009999999999998,False,False
2026-01-12 13:04:03.040327,13,200.0,False,False,0,49.79,-21.69,0.0,0.04,0,0.02,43.61,-20.71,0.0,0.2,0,0.11,6.18,False,False
2026-01-12 13:05:03.040327,13,200.0,False,False,0,49.54,-21.94,0.0,0.04,0,0.0,44.06,-20.27,0.0,0.2,0,0.01,5.479999999999997,False,False
2026-01-12 13:06:03.040327,13,200.0,False,False,0,50.21,-21.27,0.0,0.04,0,0.06,37.81,-26.51,0.0,0.2,0,0.0,12.399999999999999,False,False
2026-01-12 13:07:03.040327,13,200.0,False,False,0,35.19,-36.29,0.0,0.04,0,0.0,43.3,-21.03,0.0,0.2,0,0.56,-8.11,False,False
2026-01-12 13:08:03.040327,13,200.0,False,False,0,44.32,-27.16,0.0,0.04,0,0.0,44.08,-20.25,0.0,0.2,0,0.05,0.240000000000002,False,False
2026-01-12 13:09:03.040327,13,200.0,False,False,0,50.29,-21.19,0.0,0.04,0,0.0,43.21,-21.12,0.0,0.2,0,0.24,7.079999999999998,False,False
