timestamp,hour_of_day,day_of_week,month,temperature_C,humidity_percent,rain_rate_mmhr,wind_speed_ms,pressure_hPa,snr_dB
2024-01-01 00:00:00,0,0,1,28.11,84.26,0.841,4.81,1021.83,21.33
2024-01-01 00:01:00,0,0,1,27.56,80.18,3.282,3.67,1019.48,18.4908
2024-01-01 00:02:00,0,0,1,27.85,78.01,1.133,3.33,1020.82,19.3464
2024-01-01 00:03:00,0,0,1,28.17,82.95,0.129,4.82,1020.52,20.844
2024-01-01 00:04:00,0,0,1,28.63,81.25,1.952,4.25,1020.61,12.7374
2024-01-01 00:05:00,0,0,1,29.07,84.01,1.949,2.36,1020.66,18.204
2024-01-01 00:06:00,0,0,1,29.32,86.02,0.63,4.03,1020.68,22.3701
2024-01-01 00:07:00,0,0,1,29.12,82.49,0.547,1.02,1020.62,24.0201
2024-01-01 00:08:00,0,0,1,28.15,84.2,1.275,4.21,1020.34,20.4669
2024-01-01 00:09:00,0,0,1,29.17,82.99,0.569,3.03,1021.69,19.1037
2024-01-01 00:10:00,0,0,1,28.44,79.68,1.615,3.83,1020.95,22.4721
2024-01-01 00:11:00,0,0,1,28.82,81.69,0.649,3.97,1020.18,20.8921
2024-01-01 00:12:00,0,0,1,28.44,88.31,1.295,4.67,1020.58,19.945
2024-01-01 00:13:00,0,0,1,29.12,85.48,0.569,5.25,1021.17,17.0802
2024-01-01 00:14:00,0,0,1,28.46,83.4,0.679,3.4,1019.71,18.6201
2024-01-01 00:15:00,0,0,1,29.0,81.35,0.467,3.13,1020.86,12.9103
2024-01-01 00:16:00,0,0,1,28.54,85.67,0.099,3.01,1021.11,21.6206
2024-01-01 00:17:00,0,0,1,28.98,82.92,0.836,3.29,1020.14,21.9826
2024-01-01 00:18:00,0,0,1,29.62,81.32,1.004,4.52,1020.16,20.3997
2024-01-01 00:19:00,0,0,1,29.13,85.1,1.214,3.29,1020.75,15.8527
2024-01-01 00:20:00,0,0,1,28.79,84.43,0.186,1.85,1019.54,21.7846
2024-01-01 00:21:00,0,0,1,29.48,85.23,0.072,4.44,1020.64,19.5778
2024-01-01 00:22:00,0,0,1,29.26,83.32,0.939,3.18,1020.23,19.66
2024-01-01 00:23:00,0,0,1,28.33,86.36,0.358,3.65,1020.62,21.8206
2024-01-01 00:24:00,0,0,1,29.23,80.29,1.339,5.31,1020.37,18.5526
2024-01-01 00:25:00,0,0,1,28.97,82.02,2.754,3.49,1020.9,15.958
2024-01-01 00:26:00,0,0,1,29.73,86.56,1.868,3.72,1019.68,13.8157
2024-01-01 00:27:00,0,0,1,29.42,84.68,0.436,4.21,1021.47,24.2218
2024-01-01 00:28:00,0,0,1,28.72,83.53,1.683,2.27,1020.39,17.0301
2024-01-01 00:29:00,0,0,1,29.14,81.98,1.237,3.69,1020.6,18.497
2024-01-01 00:30:00,0,0,1,30.52,81.79,0.813,2.94,1020.82,23.8207
2024-01-01 00:31:00,0,0,1,29.33,81.21,1.435,3.96,1020.16,19.0745
2024-01-01 00:32:00,0,0,1,29.76,86.16,0.221,4.28,1020.31,18.3083
2024-01-01 00:33:00,0,0,1,29.35,84.05,0.65,3.68,1020.85,19.1865
2024-01-01 00:34:00,0,0,1,28.91,81.1,1.852,2.85,1020.15,18.4821
2024-01-01 00:35:00,0,0,1,29.72,81.76,0.361,3.5,1020.84,24.6136
2024-01-01 00:36:00,0,0,1,29.63,83.24,0.848,2.36,1020.84,18.549
2024-01-01 00:37:00,0,0,1,29.2,86.42,1.525,2.94,1021.45,15.0283
2024-01-01 00:38:00,0,0,1,29.2,84.88,1.11,3.13,1021.16,16.8841
2024-01-01 00:39:00,0,0,1,29.2,81.58,1.769,3.33,1020.77,15.0893
2024-01-01 00:40:00,0,0,1,28.99,85.08,1.186,3.38,1020.43,16.3459
2024-01-01 00:41:00,0,0,1,29.7,84.04,1.132,2.7,1020.58,19.854
2024-01-01 00:42:00,0,0,1,29.64,83.96,0.948,4.73,1021.09,14.5049
2024-01-01 00:43:00,0,0,1,29.55,85.3,0.849,3.79,1020.61,18.5511
2024-01-01 00:44:00,0,0,1,30.76,83.69,1.191,2.67,1020.38,20.2947
2024-01-01 00:45:00,0,0,1,30.57,87.07,1.853,3.81,1021.58,20.0892
2024-01-01 00:46:00,0,0,1,29.0,84.82,0.284,3.83,1020.77,19.073
2024-01-01 00:47:00,0,0,1,28.98,83.72,1.128,4.24,1021.47,19.5933
2024-01-01 00:48:00,0,0,1,29.35,83.86,0.306,3.56,1021.02,19.3886
2024-01-01 00:49:00,0,0,1,29.69,87.89,1.119,2.96,1021.63,17.8681
2024-01-01 00:50:00,0,0,1,29.93,84.03,1.281,3.65,1020.42,18.7951
2024-01-01 00:51:00,0,0,1,29.5,84.26,1.566,3.1,1020.92,23.6518
2024-01-01 00:52:00,0,0,1,29.42,85.65,0.22,3.14,1021.53,18.0378
2024-01-01 00:53:00,0,0,1,29.88,84.57,0.617,4.3,1020.41,18.6694
2024-01-01 00:54:00,0,0,1,30.23,83.02,1.286,1.88,1020.56,22.2106
2024-01-01 00:55:00,0,0,1,29.09,87.33,0.415,3.03,1021.35,21.1919
2024-01-01 00:56:00,0,0,1,30.26,85.72,0.855,2.77,1021.03,21.6255
2024-01-01 00:57:00,0,0,1,29.95,84.5,1.676,3.39,1021.33,18.5905
2024-01-01 00:58:00,0,0,1,30.25,85.24,0.667,4.02,1020.72,19.2477
2024-01-01 00:59:00,0,0,1,29.95,82.67,1.36,3.01,1020.66,19.0756
2024-01-01 01:00:00,1,0,1,28.14,82.95,1.286,3.66,1020.52,17.2959
